,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Product category,Year,Notification type,Risk,Notified by,Action taken,Distribution status,Risk decision,Country of origin
,,,,,"nuts, nut products and seeds",20/8/2018,information for attention,border control - consignment released,Poland,re-dispatch,distribution restricted to notifying country,serious,Nigeria
,,,,,"nuts, nut products and seeds",21/8/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",12/9/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",13/9/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",14/9/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,undecided,Nigeria
,,,,,"nuts, nut products and seeds",27/9/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",9/10/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",5/12/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",19/12/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",21/12/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",21/12/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",27/12/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",28/12/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",28/12/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria
